what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1285018591715
processors,sysinfo,,,"2",1285018591715
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285018591715
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1285018591715
java.specification.name,sysinfo,,,"Java Platform API Specification",1285018591715
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285018591715
java.specification.version,sysinfo,,,"1.6",1285018591715
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285018591715
java.version,sysinfo,,,"1.6.0_20",1285018591715
java.vm.info,sysinfo,,,"mixed mode, sharing",1285018591715
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285018591715
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285018591715
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285018591715
java.vm.specification.version,sysinfo,,,"1.0",1285018591715
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285018591715
java.vm.version,sysinfo,,,"16.3-b01",1285018591715
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1285018591722
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1285018591764
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1285018591910
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1285018591996
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1285018592479
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1285018592481
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1285018593491
